application_id,customer_id,applied_at,credit_check_at,decision,decided_at,card_issued_at,requested_credit_limit,approved_credit_limit,created_at,updated_at
app_3nymzt0c,cust_xaji0y6d,2024-06-08,2024-06-08,rejected,2024-06-08,,5000,,2024-06-08,2024-06-08
app_ginjxxlz,cust_d4v30t9n,2023-09-13,2023-09-13,rejected,2023-09-13,,5000,,2023-09-13,2023-09-13
app_8b3jso8l,cust_bikcidkw,2024-02-05,2024-02-05,approved,2024-02-06,2024-02-13,1000,1000,2024-02-05,2024-02-06
app_woj587p1,cust_cwtiqj7y,2023-04-18,2023-04-18,approved,2023-04-19,2023-04-25,3000,500,2023-04-18,2023-04-19
app_puw3blo8,cust_ljh75lxo,2024-08-20,2024-08-20,approved,2024-08-21,2024-08-26,1500,1000,2024-08-20,2024-08-21
app_4dsgmcfo,cust_pvn9er14,2022-11-16,2022-11-17,rejected,2022-11-17,,2000,,2022-11-16,2022-11-17
app_4fqgiwao,cust_9t84azyt,2023-07-07,2023-07-07,approved,2023-07-07,2023-07-14,2000,1000,2023-07-07,2023-07-07
app_4eg3kx0h,cust_zz81sdw4,2024-11-17,2024-11-17,rejected,2024-11-18,,500,,2024-11-17,2024-11-18
app_rhrrwskj,cust_tala753l,2022-05-19,2022-05-19,approved,2022-05-19,2022-05-22,5000,2000,2022-05-19,2022-05-19
app_0pnvjaz2,cust_yn6qicat,2023-04-13,2023-04-13,approved,2023-04-13,2023-04-16,1500,1000,2023-04-13,2023-04-13
app_3eq7xx1w,cust_lskrt05u,2023-05-22,2023-05-22,rejected,2023-05-22,,2000,,2023-05-22,2023-05-22
app_wh5jz554,cust_i7p5tb94,2022-08-10,2022-08-10,approved,2022-08-11,2022-08-17,1500,1000,2022-08-10,2022-08-11
app_5o54fxer,cust_ocn9j2qp,2024-10-02,2024-10-02,rejected,2024-10-02,,1000,,2024-10-02,2024-10-02
app_hfpah82u,cust_0cvs4f8c,2023-01-23,2023-01-23,rejected,2023-01-24,,500,,2023-01-23,2023-01-24
app_6s20eupz,cust_uubcxulj,2023-10-13,2023-10-13,approved,2023-10-13,2023-10-18,3000,1000,2023-10-13,2023-10-13
app_obx7hlri,cust_zw9xa3kx,2022-10-18,2022-10-19,approved,2022-10-20,2022-10-25,3000,1000,2022-10-18,2022-10-20
app_hvywu7l6,cust_fpzue8yf,2022-03-23,2022-03-23,approved,2022-03-23,2022-03-27,5000,1500,2022-03-23,2022-03-23
app_i94lausk,cust_6246hid2,2024-05-06,2024-05-06,approved,2024-05-07,2024-05-14,3000,500,2024-05-06,2024-05-07
app_j0xg9a2n,cust_2gog72oy,2023-06-22,2023-06-22,approved,2023-06-23,2023-06-29,2000,2000,2023-06-22,2023-06-23
app_o8mlf1bd,cust_i3qk2iag,2023-11-10,2023-11-10,approved,2023-11-11,2023-11-14,2000,1000,2023-11-10,2023-11-11
app_7r2x0mmz,cust_y4la5ju9,2022-04-17,2022-04-17,approved,2022-04-18,2022-04-21,1500,1000,2022-04-17,2022-04-18
app_p9lvewtf,cust_4zklooke,2024-05-29,2024-05-29,rejected,2024-05-29,,1500,,2024-05-29,2024-05-29
app_w9yumx00,cust_o4kh2vlp,2023-03-17,2023-03-17,approved,2023-03-18,2023-03-23,1500,500,2023-03-17,2023-03-18
app_dwoildrf,cust_kxwd8il3,2022-11-15,2022-11-15,approved,2022-11-15,2022-11-20,1500,2000,2022-11-15,2022-11-15
app_fruy474m,cust_owgzrixa,2022-08-25,2022-08-25,approved,2022-08-25,2022-08-30,500,500,2022-08-25,2022-08-25
app_a9pkvr5p,cust_u7eeqtul,2024-07-08,2024-07-08,rejected,2024-07-08,,1000,,2024-07-08,2024-07-08
app_opm3xp40,cust_60rjiw1s,2023-05-20,2023-05-20,approved,2023-05-21,2023-05-25,2000,2000,2023-05-20,2023-05-21
app_dfmmevi1,cust_teiyzcot,2024-05-04,2024-05-04,approved,2024-05-05,2024-05-08,3000,2000,2024-05-04,2024-05-05
app_50yqviww,cust_a5ur7ko6,2024-05-15,2024-05-15,approved,2024-05-15,2024-05-19,500,1500,2024-05-15,2024-05-15
app_q94ujx9t,cust_eqbnhl1n,2024-05-14,2024-05-14,approved,2024-05-14,2024-05-20,3000,1500,2024-05-14,2024-05-14
app_jd85kog3,cust_jnv8z2fl,2022-03-01,2022-03-01,approved,2022-03-02,2022-03-08,2000,1000,2022-03-01,2022-03-02
app_o1jlznar,cust_hv3izky2,2022-03-27,2022-03-27,approved,2022-03-29,2022-04-04,500,1500,2022-03-27,2022-03-29
app_b4sqc6i0,cust_43d8w3zp,2024-12-28,2024-12-28,approved,2024-12-29,2025-01-02,1500,2000,2024-12-28,2024-12-29
app_spfoh24x,cust_p0j43d5i,2024-09-06,2024-09-06,approved,2024-09-06,2024-09-12,500,2000,2024-09-06,2024-09-06
app_j0ppkjuo,cust_rmjkv5us,2023-02-22,2023-02-22,rejected,2023-02-22,,500,,2023-02-22,2023-02-22
app_auj8nt5z,cust_xr2dhylu,2024-09-10,2024-09-10,approved,2024-09-11,2024-09-17,500,2000,2024-09-10,2024-09-11
app_izj8hb3q,cust_qlizl08y,2023-01-29,2023-01-29,rejected,2023-01-30,,1000,,2023-01-29,2023-01-30
app_x09ti8vk,cust_kdgigatj,2022-05-17,2022-05-17,approved,2022-05-18,2022-05-21,3000,2000,2022-05-17,2022-05-18
app_qk5gpaf7,cust_uk9e1v2i,2024-12-13,2024-12-13,rejected,2024-12-14,,1500,,2024-12-13,2024-12-14
app_scsw9ebf,cust_uc8d1wjc,2023-06-01,2023-06-01,approved,2023-06-02,2023-06-09,1000,500,2023-06-01,2023-06-02
app_mh1mlfl3,cust_cfl0ukey,2024-04-09,2024-04-09,rejected,2024-04-09,,1000,,2024-04-09,2024-04-09
app_dqe32vzo,cust_pljd84u8,2023-07-18,2023-07-18,approved,2023-07-18,2023-07-23,1500,500,2023-07-18,2023-07-18
app_bc1h84yc,cust_k9p38qol,2022-08-25,2022-08-25,approved,2022-08-25,2022-08-31,2000,1500,2022-08-25,2022-08-25
app_y02lkzqg,cust_3tqll8os,2022-01-21,2022-01-21,rejected,2022-01-21,,5000,,2022-01-21,2022-01-21
app_257haydv,cust_1w1ht7pz,2022-09-16,2022-09-16,rejected,2022-09-17,,1500,,2022-09-16,2022-09-17
app_pzdfymem,cust_aoi4e8xf,2023-09-16,2023-09-16,rejected,2023-09-16,,3000,,2023-09-16,2023-09-16
app_uad7cn5u,cust_tn7s55j2,2024-05-18,2024-05-18,approved,2024-05-18,2024-05-25,3000,500,2024-05-18,2024-05-18
app_uj1iahby,cust_4ux5qrl1,2024-02-20,2024-02-20,rejected,2024-02-20,,3000,,2024-02-20,2024-02-20
app_5rglyt4w,cust_5psq0oxf,2024-09-14,2024-09-15,approved,2024-09-15,2024-09-19,1500,1500,2024-09-14,2024-09-15
app_k3hw6qgl,cust_91zdfkbl,2022-05-14,2022-05-14,approved,2022-05-15,2022-05-22,1000,500,2022-05-14,2022-05-15
app_ejhf2idz,cust_2gc5wi6f,2024-08-23,2024-08-23,approved,2024-08-24,2024-08-28,3000,2000,2024-08-23,2024-08-24
