history_id,customer_id,credit_limit,change_reason,valid_from,updated_at
clh_ttchxsmy,cust_bikcidkw,1500,initial_approval,2024-02-13,2024-02-13
clh_gq04wrw7,cust_cwtiqj7y,1500,initial_approval,2023-04-25,2023-04-25
clh_hyew7i1q,cust_cwtiqj7y,2000,requested_increase,2023-12-22,2023-12-22
clh_pmyl9qrl,cust_ljh75lxo,500,initial_approval,2024-08-26,2024-08-26
clh_97145qad,cust_9t84azyt,2000,initial_approval,2023-07-14,2023-07-14
clh_koy126r2,cust_tala753l,1000,initial_approval,2022-05-22,2022-05-22
clh_omwx7tga,cust_yn6qicat,2000,initial_approval,2023-04-16,2023-04-16
clh_rt3lhupb,cust_yn6qicat,2000,good_standing,2023-10-04,2023-10-04
clh_q5g7xyy6,cust_i7p5tb94,500,initial_approval,2022-08-17,2022-08-17
clh_smx8i8cm,cust_uubcxulj,1000,initial_approval,2023-10-18,2023-10-18
clh_m5zsnl29,cust_uubcxulj,1500,good_standing,2024-04-21,2024-04-21
clh_fb0b1797,cust_zw9xa3kx,500,initial_approval,2022-10-25,2022-10-25
clh_4gbxisru,cust_zw9xa3kx,2000,good_standing,2023-10-06,2023-10-06
clh_byc9jy1w,cust_fpzue8yf,2000,initial_approval,2022-03-27,2022-03-27
clh_rt935wiz,cust_6246hid2,2000,initial_approval,2024-05-14,2024-05-14
clh_uttbmdcj,cust_2gog72oy,500,initial_approval,2023-06-29,2023-06-29
clh_8ge9r0yz,cust_i3qk2iag,500,initial_approval,2023-11-14,2023-11-14
clh_b6rkpvzq,cust_y4la5ju9,1500,initial_approval,2022-04-21,2022-04-21
clh_cfdyq0vv,cust_o4kh2vlp,2000,initial_approval,2023-03-23,2023-03-23
clh_6jx2yvqf,cust_kxwd8il3,1500,initial_approval,2022-11-20,2022-11-20
clh_yh2k55hz,cust_owgzrixa,1000,initial_approval,2022-08-30,2022-08-30
clh_cwl83jv1,cust_owgzrixa,3000,requested_increase,2022-12-24,2022-12-24
clh_nnhc1ca5,cust_60rjiw1s,2000,initial_approval,2023-05-25,2023-05-25
clh_9kvavqzb,cust_60rjiw1s,2000,annual_review,2023-10-13,2023-10-13
clh_tqgf0s46,cust_teiyzcot,1500,initial_approval,2024-05-08,2024-05-08
clh_0efp2zw2,cust_a5ur7ko6,2000,initial_approval,2024-05-19,2024-05-19
clh_4mmt2l3d,cust_eqbnhl1n,2000,initial_approval,2024-05-20,2024-05-20
clh_45v26r3u,cust_eqbnhl1n,3000,good_standing,2024-12-03,2024-12-03
clh_aqpzw41s,cust_jnv8z2fl,1000,initial_approval,2022-03-08,2022-03-08
clh_pi9oo7pl,cust_hv3izky2,500,initial_approval,2022-04-04,2022-04-04
clh_lh1o76vn,cust_p0j43d5i,1000,initial_approval,2024-09-12,2024-09-12
clh_ee4f2dfg,cust_xr2dhylu,1500,initial_approval,2024-09-17,2024-09-17
clh_o75a6wkg,cust_kdgigatj,1000,initial_approval,2022-05-21,2022-05-21
clh_w7s1tgr9,cust_kdgigatj,3000,annual_review,2022-09-19,2022-09-19
clh_9v69namt,cust_uc8d1wjc,500,initial_approval,2023-06-09,2023-06-09
clh_knfjx927,cust_uc8d1wjc,3000,annual_review,2024-01-03,2024-01-03
clh_2jp7p4dq,cust_pljd84u8,500,initial_approval,2023-07-23,2023-07-23
clh_ls37z5r6,cust_k9p38qol,2000,initial_approval,2022-08-31,2022-08-31
clh_kgwh7e6x,cust_tn7s55j2,1000,initial_approval,2024-05-25,2024-05-25
clh_nvub8yt0,cust_5psq0oxf,1500,initial_approval,2024-09-19,2024-09-19
clh_865w20ja,cust_91zdfkbl,2000,initial_approval,2022-05-22,2022-05-22
clh_5kekjy09,cust_2gc5wi6f,500,initial_approval,2024-08-28,2024-08-28
clh_rdxwcczl,cust_uu9k9xju,1500,initial_approval,2022-05-12,2022-05-12
clh_f88x496q,cust_u0dk0get,1000,initial_approval,2024-02-06,2024-02-06
clh_c8cv0u7r,cust_tqyyv37d,500,initial_approval,2023-05-20,2023-05-20
clh_twnqhg3p,cust_in9n6xcj,2000,initial_approval,2022-09-17,2022-09-17
clh_zbrsg0uz,cust_b94pdzp6,1500,initial_approval,2023-11-21,2023-11-21
clh_x6sk6ghg,cust_xid4n1u3,1500,initial_approval,2022-02-28,2022-02-28
clh_xbs4ub2k,cust_17mgfxc0,500,initial_approval,2022-03-27,2022-03-27
clh_oxhqn4a9,cust_ll7v5f1b,1500,initial_approval,2022-07-13,2022-07-13
clh_me7joe9f,cust_1epkyryb,500,initial_approval,2024-04-14,2024-04-14
clh_jpqlc3zw,cust_1epkyryb,3000,annual_review,2024-09-10,2024-09-10
clh_2x4mhfvr,cust_1kerpeti,1000,initial_approval,2024-01-29,2024-01-29
clh_nlyys1cu,cust_5uuzpeal,1500,initial_approval,2024-08-24,2024-08-24
clh_8oz6b77x,cust_vsolmlgs,1000,initial_approval,2022-09-18,2022-09-18
clh_gifal75y,cust_xfdjgf1c,1000,initial_approval,2024-11-06,2024-11-06
clh_74ry3wvp,cust_nkx9dvnu,1000,initial_approval,2022-04-27,2022-04-27
clh_ofehs1ow,cust_nkx9dvnu,1500,annual_review,2022-09-24,2022-09-24
clh_z51o8dt4,cust_fcd6mzsg,1500,initial_approval,2023-06-07,2023-06-07
clh_dwjy6cci,cust_fcd6mzsg,5000,annual_review,2023-12-12,2023-12-12
